Ticker,Industry,Date,Shares,OfferPrice,FirstDayClose,CurrentPrice,Return,DaysSincePublic
ASIC,Financials,11/6/2025,6.7,1700,2474,2257,32.76470588235294,468
VOYG,Other,11/6/2025,12.4,3100,5713,4470,44.193548387096776,468
JEM,Consumer Goods,9/6/2025,2.5,400,385,627,56.75,470
OMDA,Health Care,6/6/2025,7.9,1900,2300,1520,-20.0,473
CRCL,Financials,5/6/2025,34.0,3100,8323,24028,675.0967741935484,474
PTNM,Consumer Goods,30/5/2025,1.8,400,380,380,-5.0,480
JENA.U,Blank Check,29/5/2025,20.0,1000,0,0,-100.0,481
FTRK,Other,23/5/2025,3.8,400,0,0,-100.0,487
HNGE,Health Care,22/5/2025,13.7,3200,3756,3756,17.375,488
MNTN,Consumer Services,22/5/2025,11.7,1600,2636,2636,64.75,488
OFAL,Other,21/5/2025,3.8,400,0,0,-100.0,489
ARAI,Other,15/5/2025,30.0,1300,0,0,-100.0,495
ANTA,Financials,14/5/2025,3.9,1280,1638,1638,27.968749999999996,496
ETOR,Financials,14/5/2025,11.9,5200,6700,6700,28.846153846153843,496
OMSE,Oil & Gas,13/5/2025,3.7,900,751,751,-16.555555555555557,497
APUS,Health Care,9/5/2025,3.4,400,220,220,-45.0,501
AII,Financials,8/5/2025,6.9,1600,1690,1690,5.625,502
AHL,Financials,8/5/2025,13.3,3000,3250,3250,8.333333333333332,502
CEPT,Blank Check,2/5/2025,24.0,1000,1108,1108,10.8,508
SDM,Consumer Services,2/5/2025,1.5,400,611,611,52.75,508
YB,Financials,30/4/2025,2.0,1500,0,0,-100.0,510
PHOE,Other,25/4/2025,1.6,400,0,0,-100.0,515
CIGL,Other,22/4/2025,1.3,400,421,421,5.25,518
PFAI,Consumer Goods,22/4/2025,1.8,400,335,335,-16.25,518
TMDE,Oil & Gas,21/4/2025,3.1,325,363,363,11.692307692307692,519
CHA,Consumer Goods,17/4/2025,14.7,2800,3244,3244,15.857142857142856,523
EDHL,Consumer Services,17/4/2025,1.5,400,420,420,5.0,523
HXHX,Industrials,15/4/2025,1.8,400,311,311,-22.25,525
ATHR,Technology,10/4/2025,1.8,430,575,575,33.72093023255814,530
CUPR,Health Care,10/4/2025,3.0,400,415,415,3.75,530
IOTR,Technology,10/4/2025,2.1,400,355,355,-11.25,530
